Weight,Equation,Result,Answer,WordRem,PracticeMode,SpanSque,Span,SpanGroup,EquationLev,WordSque
1,67+26-3=,90,1,龙,no,7,7,2,3,11
1,64+8-30=,42,1,鼠,no,1,8,1,3,5
1,32+26-9=,58,2,羊,no,2,8,1,3,10
1,65+6-30=,48,2,蛇,no,3,8,1,3,6
1,63+9-40=,55,2,鼠,no,4,8,1,3,1
1,57+8-12=,53,1,兔,no,5,8,1,3,3
1,54+2-12=,44,1,猪,no,6,8,1,3,12
1,42+9-23=,41,2,蛇,no,7,8,1,3,9
1,62+3-47=,18,1,牛,no,8,8,1,3,2
1,43+38-9=,76,2,鸡,no,1,8,2,3,5
1,44+8-22=,30,1,狗,no,2,8,2,3,10
1,55+49-5=,78,2,龙,no,3,8,2,3,6
1,78+5-23=,60,1,兔,no,4,8,2,3,8
1,35+48-3=,67,2,猪,no,5,8,2,3,1
1,48+23-2=,58,2,猴,no,6,8,2,3,4
1,36+50-2=,76,2,鸡,no,7,8,2,3,12
1,69+8-24=,53,1,马,no,8,8,2,3,9
1,43+36-8=,69,2,狗,no,1,9,1,3,3
1,31+29-6=,64,2,蛇,no,2,9,1,3,11
1,87+8-50=,35,2,兔,no,3,9,1,3,2
1,70+28-4=,79,2,牛,no,4,9,1,3,7
1,35+50-9=,76,1,鼠,no,5,9,1,3,5
1,45+8-30=,23,2,猴,no,6,9,1,3,10
1,66+29-4=,91,1,蛇,no,7,9,1,3,8
1,88+5-50=,22,2,虎,no,8,9,1,3,12
1,47+30-9=,68,1,鸡,no,9,9,1,3,6
1,64+6-30=,40,1,牛,no,1,9,2,3,7
1,31+58-4=,85,1,虎,no,2,9,2,3,2
1,63+9-30=,43,2,狗,no,3,9,2,3,4
1,55+30-6=,79,1,马,no,4,9,2,3,9
1,42+9-20=,32,2,猴,no,5,9,2,3,1
1,77+6-20=,62,2,鸡,no,6,9,2,3,3
1,35+7-15=,27,1,猪,no,7,9,2,3,11
1,53+30-7=,76,1,龙,no,8,9,2,3,6
1,65+20-9=,86,2,羊,no,9,9,2,3,10
1,43+40-8=,75,1,虎,no,1,10,1,3,9
1,32+50-7=,77,1,羊,no,2,10,1,3,8
1,64+8-10=,75,1,猪,no,3,10,1,3,12
1,44+20-8=,57,2,鼠,no,4,10,1,3,5
1,51+20-7=,76,2,狗,no,5,10,1,3,11
1,45+7-30=,23,2,兔,no,6,10,1,3,1
1,57+40-3=,94,1,马,no,7,10,1,3,7
1,75+7-49=,42,2,猴,no,8,10,1,3,3
1,41+30-5=,59,2,牛,no,9,10,1,3,2
1,88+9-50=,43,2,龙,no,10,10,1,3,4
1,67+30-9=,88,2,猪,no,1,10,2,3,7
1,66+7-54=,19,1,鸡,no,2,10,2,3,10
1,45+40-3=,82,1,虎,no,3,10,2,3,6
1,61+20-9=,72,1,兔,no,4,10,2,3,3
1,43+8-20=,31,1,狗,no,5,10,2,3,11
1,73+5-30=,51,2,牛,no,6,10,2,3,5
1,48+25-5=,68,1,羊,no,7,10,2,3,4
1,42+30-7=,65,1,蛇,no,8,10,2,3,2
1,75+8-20=,66,2,龙,no,9,10,2,3,12
1,47+6-16=,37,1,马,no,10,10,2,3,8
